id,district_id,district_name,locality,municipality_id,municipality_name,operational_status,region_id,region_name,stop_id,lat,lon,location
160567,15,Setúbal,Galeotas,1512,Setúbal,ACTIVE,PT170,AML,160567,38.535933,-9.007543,0101000020E6100000A1A014ADDC0322C070ECD97399444340
160568,15,Setúbal,Galeotas,1512,Setúbal,ACTIVE,PT170,AML,160568,38.535884,-9.007376,0101000020E6100000F48C7DC9C60322C08F39CFD897444340
160569,15,Setúbal,Galeotas,1512,Setúbal,ACTIVE,PT170,AML,160569,38.53923,-9.011032,0101000020E6100000406B7EFCA50522C0D482177D05454340
160570,15,Setúbal,Galeotas,1512,Setúbal,ACTIVE,PT170,AML,160570,38.539209,-9.010765,0101000020E610000004E275FD820522C0BC5AEECC04454340
160571,15,Setúbal,Galeotas,1512,Setúbal,ACTIVE,PT170,AML,160571,38.538661,-9.014034,0101000020E61000006B10E6762F0722C0B950F9D7F2444340
160572,15,Setúbal,Galeotas,1512,Setúbal,ACTIVE,PT170,AML,160572,38.538578,-9.014088,0101000020E61000003788D68A360722C02C2CB81FF0444340
160573,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160573,38.537447,-9.018085,0101000020E6100000A818E76F420922C0AA2A3410CB444340
160574,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160574,38.537366,-9.018069,0101000020E610000092240857400922C0BDFDB968C8444340
160575,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160575,38.534706,-9.016305,0101000020E6100000C6850321590822C0CC7C073F71444340
160578,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160578,38.535235,-9.013704,0101000020E610000016A6EF35040722C058569A9482444340
160580,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160580,38.536798,-9.014123,0101000020E6100000293E3E213B0722C07347FFCBB5444340
160581,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160581,38.540201,-9.015926,0101000020E6100000EC4FE273270822C01D226E4E25454340
160582,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160582,38.540364,-9.015913,0101000020E61000009929ADBF250822C0C6F7C5A52A454340
160583,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160583,38.543135,-9.01756,0101000020E61000007E6FD39FFD0822C00F289B7285454340
160584,15,Setúbal,Choilo,1512,Setúbal,ACTIVE,PT170,AML,160584,38.543001,-9.017326,0101000020E6100000B2BD16F4DE0822C0FF58880E81454340
160585,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160585,38.545512,-9.016694,0101000020E61000002F14B01D8C0822C0ACC95356D3454340
160586,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160586,38.545466,-9.01654,0101000020E6100000D5264EEE770822C03B8A73D4D1454340
160587,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160587,38.546141,-9.012675,0101000020E61000001FF46C567D0622C09B00C3F2E7454340
160588,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160588,38.546045,-9.01285,0101000020E6100000D8817346940622C0799274CDE4454340
160589,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160589,38.544798,-9.009046,0101000020E6100000B95164ADA10422C08E76DCF0BB454340
160591,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160591,38.54222,-9.008062,0101000020E610000043AED4B3200422C05A9E077767454340
160593,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160593,38.541689,-9.004559,0101000020E610000010CEA78E550222C02DCDAD1056454340
160594,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160594,38.541676,-9.004378,0101000020E6100000CFA44DD53D0222C09983A0A355454340
160595,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160595,38.537721,-9.001448,0101000020E61000000A4AD1CABD0022C0ABAFAE0AD4444340
160596,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160596,38.5379,-9.001468,0101000020E610000026FBE769C00022C05B423EE8D9444340
160597,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160597,38.542089,-9.009121,0101000020E6100000E469F981AB0422C0BB421F2C63454340
160599,15,Setúbal,Brejos de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160599,38.545125,-9.010356,0101000020E61000007FA2B2614D0522C0B29DEFA7C6454340
160601,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160601,38.525985,-8.997036,0101000020E61000008BDEA9807BFE21C0E197FA7953434340
160604,15,Setúbal,Vila Fresca de Azeitão,1512,Setúbal,ACTIVE,PT170,AML,160604,38.528082,-8.985553,0101000020E61000000AF31E679AF821C09ACDE33098434340
160606,15,Setúbal,Aldeia Grande,1512,Setúbal,ACTIVE,PT170,AML,160606,38.518629,-8.968071,0101000020E61000007B698A00A7EF21C0EBE0606F62424340
160607,15,Setúbal,São Luís da Serra,1512,Setúbal,ACTIVE,PT170,AML,160607,38.532412,-8.908928,0101000020E61000005ED6C4025FD121C0BDFF8F1326444340
160609,15,Setúbal,Alto da Guerra,1512,Setúbal,ACTIVE,PT170,AML,160609,38.539582,-8.847404,0101000020E6100000C9FFE4EFDEB121C051C1E10511454340
160610,15,Setúbal,Alto da Guerra,1512,Setúbal,ACTIVE,PT170,AML,160610,38.539543,-8.8472,0101000020E6100000A857CA32C4B121C093E4B9BE0F454340
160611,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160611,38.541634,-8.849188,0101000020E6100000B14F00C5C8B221C06A334E4354454340
160612,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160612,38.541735,-8.849114,0101000020E6100000C826F911BFB221C09E0C8E9257454340
160613,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160613,38.543587,-8.852075,0101000020E6100000787AA52C43B421C0F0C3414294454340
160615,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160615,38.525883,-8.861613,0101000020E6100000ED9DD15625B921C0DD42572250434340
160617,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160617,38.526099,-8.862709,0101000020E610000003EE79FEB4B921C0AABA473657434340
160619,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160619,38.526551,-8.864193,0101000020E610000040DD408177BA21C08A56EE0566434340
160621,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160621,38.527294,-8.866342,0101000020E61000006E4DBA2D91BB21C042B0AA5E7E434340
160623,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160623,38.52774,-8.869479,0101000020E6100000191EFB592CBD21C04165FCFB8C434340
160624,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160624,38.527709,-8.869284,0101000020E610000044DFDDCA12BD21C00667F0F78B434340
160625,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160625,38.527971,-8.871595,0101000020E6100000D8B628B341BE21C0431EC18D94434340
160626,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160626,38.527803,-8.871621,0101000020E61000007D03931B45BE21C087DD770C8F434340
160627,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160627,38.526478,-8.875304,0101000020E6100000B01D8CD827C021C0200890A163434340
160628,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160628,38.526519,-8.875051,0101000020E610000008AA46AF06C021C07FDC7EF964434340
160629,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160629,38.534391,-8.896629,0101000020E6100000564ACFF412CB21C06C239EEC66444340
160631,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160631,38.527138,-8.866481,0101000020E6100000F435CB65A3BB21C04B3D0B4279434340
160633,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160633,38.52633,-8.865075,0101000020E6100000A52C431CEBBA21C0AC730CC85E434340
160635,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160635,38.5254,-8.863504,0101000020E61000002DEE3F321DBA21C0C1A8A44E40434340
160637,15,Setúbal,Setúbal,1512,Setúbal,ACTIVE,PT170,AML,160637,38.526058,-8.862354,0101000020E61000004A26A77686B921C04BE658DE55434340
160639,15,Setúbal,Biscaínho,1512,Setúbal,ACTIVE,PT170,AML,160639,38.547542,-8.762411,0101000020E6100000A8380EBC5A8621C0DD9733DB15464340
160640,15,Setúbal,Biscaínho,1512,Setúbal,ACTIVE,PT170,AML,160640,38.547622,-8.762293,0101000020E610000080F0A1444B8621C0F9484A7A18464340
160641,15,Setúbal,Biscaínho,1512,Setúbal,ACTIVE,PT170,AML,160641,38.550505,-8.761589,0101000020E610000098FC4FFEEE8521C06AA4A5F276464340
160642,15,Setúbal,Biscaínho,1512,Setúbal,ACTIVE,PT170,AML,160642,38.550216,-8.761645,0101000020E6100000E7525C55F68521C033DE567A6D464340
160643,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160643,38.55297,-8.761494,0101000020E61000005133A48AE28521C0A6D590B8C7464340
160644,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160644,38.553053,-8.761424,0101000020E61000006DC7D45DD98521C033FAD170CA464340
160645,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160645,38.554745,-8.764455,0101000020E6100000018750A5668721C04C4F58E201474340
160646,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160646,38.554811,-8.764409,0101000020E61000004089CF9D608721C0043BFE0B04474340
160647,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160647,38.555747,-8.766866,0101000020E610000024D40CA9A28821C0D0ECBAB722474340
160648,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160648,38.555829,-8.76687,0101000020E61000002A91442FA38821C08E95986725474340
160649,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160649,38.556835,-8.771127,0101000020E61000000C207C28D18A21C05322895E46474340
160650,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160650,38.557037,-8.77138,0101000020E6100000B493C151F28A21C0BBD408FD4C474340
160651,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160651,38.560503,-8.775809,0101000020E61000008BE255D6368D21C0AA27F38FBE474340
160652,15,Setúbal,Gâmbia,1512,Setúbal,ACTIVE,PT170,AML,160652,38.560436,-8.775801,0101000020E61000007F68E6C9358D21C023C0E95DBC474340
